ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
117.91.1.gjj,2017-06-29,00:00:00,0.0,1453687.0,0001638599-17-000660,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,886982.0,0001193125-17-216848,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1453687.0,0001638599-17-000660,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,886982.0,0001140361-17-026503,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006170,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1488813.0,0000950159-17-000180,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006176,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,791915.0,0001209191-17-042157,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,72971.0,0001193125-17-216167,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,791915.0,0001209191-17-042157,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0000950103-17-006180,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006176,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0001047469-17-004295,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1099219.0,0000937834-17-000021,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1488813.0,0000950159-17-000180,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1527428.0,0001580642-17-003672,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1527428.0,0001580642-17-003672,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006170,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,759828.0,0001145443-17-000753,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1099219.0,0000937834-17-000021,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0001047469-17-004295,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0001104659-17-042028,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0000950103-17-006180,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0001104659-17-042028,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1114446.0,0000914121-17-000840,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1655319.0,0001655319-17-000005,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,886982.0,0001193125-17-216725,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,759828.0,0001145443-17-000753,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
